Date,Market Cap
1/3/09,0
1/5/09,0
1/7/09,0
1/9/09,0
1/11/09,0
1/13/09,0
1/15/09,0
1/17/09,0
1/19/09,0
1/21/09,0
1/23/09,0
1/25/09,0
1/27/09,0
1/29/09,0
1/31/09,0
2/2/09,0
2/4/09,0
2/6/09,0
2/8/09,0
2/10/09,0
2/12/09,0
2/14/09,0
2/16/09,0
2/18/09,0
2/20/09,0
2/22/09,0
2/24/09,0
2/26/09,0
2/28/09,0
3/2/09,0
3/4/09,0
3/6/09,0
3/8/09,0
3/10/09,0
3/12/09,0
3/14/09,0
3/16/09,0
3/18/09,0
3/20/09,0
3/22/09,0
3/24/09,0
3/26/09,0
3/28/09,0
3/30/09,0
4/1/09,0
4/3/09,0
4/5/09,0
4/7/09,0
4/9/09,0
4/11/09,0
4/13/09,0
4/15/09,0
4/17/09,0
4/19/09,0
4/21/09,0
4/23/09,0
4/25/09,0
4/27/09,0
4/29/09,0
5/1/09,0
5/3/09,0
5/5/09,0
5/7/09,0
5/9/09,0
5/11/09,0
5/13/09,0
5/15/09,0
5/17/09,0
5/19/09,0
5/21/09,0
5/23/09,0
5/25/09,0
5/27/09,0
5/29/09,0
5/31/09,0
6/2/09,0
6/4/09,0
6/6/09,0
6/8/09,0
6/10/09,0
6/12/09,0
6/14/09,0
6/16/09,0
6/18/09,0
6/20/09,0
6/22/09,0
6/24/09,0
6/26/09,0
6/28/09,0
6/30/09,0
7/2/09,0
7/4/09,0
7/6/09,0
7/8/09,0
7/10/09,0
7/12/09,0
7/14/09,0
7/16/09,0
7/18/09,0
7/20/09,0
7/22/09,0
7/24/09,0
7/26/09,0
7/28/09,0
7/30/09,0
8/1/09,0
8/3/09,0
8/5/09,0
8/7/09,0
8/9/09,0
8/11/09,0
8/13/09,0
8/15/09,0
8/17/09,0
8/19/09,0
8/21/09,0
8/23/09,0
8/25/09,0
8/27/09,0
8/29/09,0
8/31/09,0
9/2/09,0
9/4/09,0
9/6/09,0
9/8/09,0
9/10/09,0
9/12/09,0
9/14/09,0
9/16/09,0
9/18/09,0
9/20/09,0
9/22/09,0
9/24/09,0
9/26/09,0
9/28/09,0
9/30/09,0
10/2/09,0
10/4/09,0
10/6/09,0
10/8/09,0
10/10/09,0
10/12/09,0
10/14/09,0
10/16/09,0
10/18/09,0
10/20/09,0
10/22/09,0
10/24/09,0
10/26/09,0
10/28/09,0
10/30/09,0
11/1/09,0
11/3/09,0
11/5/09,0
11/7/09,0
11/9/09,0
11/11/09,0
11/13/09,0
11/15/09,0
11/17/09,0
11/19/09,0
11/21/09,0
11/23/09,0
11/25/09,0
11/27/09,0
11/29/09,0
12/1/09,0
12/3/09,0
12/5/09,0
12/7/09,0
12/9/09,0
12/11/09,0
12/13/09,0
12/15/09,0
12/17/09,0
12/19/09,0
12/21/09,0
12/23/09,0
12/25/09,0
12/27/09,0
12/29/09,0
12/31/09,0
1/2/10,0
1/4/10,0
1/6/10,0
1/8/10,0
1/10/10,0
1/12/10,0
1/14/10,0
1/16/10,0
1/18/10,0
1/20/10,0
1/22/10,0
1/24/10,0
1/26/10,0
1/28/10,0
1/30/10,0
2/1/10,0
2/3/10,0
2/5/10,0
2/7/10,0
2/9/10,0
2/11/10,0
2/13/10,0
2/15/10,0
2/17/10,0
2/19/10,0
2/21/10,0
2/23/10,0
2/25/10,0
2/27/10,0
3/1/10,0
3/3/10,0
3/5/10,0
3/7/10,0
3/9/10,0
3/11/10,0
3/13/10,0
3/15/10,0
3/17/10,0
3/19/10,0
3/21/10,0
3/23/10,0
3/25/10,0
3/27/10,0
3/29/10,0
3/31/10,0
4/2/10,0
4/4/10,0
4/6/10,0
4/8/10,0
4/10/10,0
4/12/10,0
4/14/10,0
4/16/10,0
4/18/10,0
4/20/10,0
4/22/10,0
4/24/10,0
4/26/10,0
4/28/10,0
4/30/10,0
5/2/10,0
5/4/10,0
5/6/10,0
5/8/10,0
5/10/10,0
5/12/10,0
5/14/10,0
5/16/10,0
5/18/10,0
5/20/10,0
5/22/10,0
5/24/10,0
5/26/10,0
5/28/10,0
5/30/10,0
6/1/10,0
6/3/10,0
6/5/10,0
6/7/10,0
6/9/10,0
6/11/10,0
6/13/10,0
6/15/10,0
6/17/10,0
6/19/10,0
6/21/10,0
6/23/10,0
6/25/10,0
6/27/10,0
6/29/10,0
7/1/10,0
7/3/10,0
7/5/10,0
7/7/10,0
7/9/10,0
7/11/10,0
7/13/10,0
7/15/10,0
7/17/10,0
7/19/10,0
7/21/10,0
7/23/10,0
7/25/10,0
7/27/10,0
7/29/10,0
7/31/10,0
8/2/10,0
8/4/10,0
8/6/10,0
8/8/10,0
8/10/10,0
8/12/10,0
8/14/10,0
8/16/10,0
8/18/10,277566.6
8/20/10,251208.875
8/22/10,251350.56
8/24/10,254612.9785
8/26/10,254574.7968
8/28/10,249996.5
8/30/10,266440.05
9/1/10,251747.1
9/3/10,246914.47
9/5/10,246039.64
9/7/10,242922.06
9/9/10,246027.6
9/11/10,245482.8
9/13/10,246598.2675
9/15/10,699282.5
9/17/10,244586.58
9/19/10,252809.1915
9/21/10,256868.235
9/23/10,256863.6
9/25/10,255815.04
9/27/10,256372.6981
9/29/10,257528.79
10/1/10,257658.5442
10/3/10,255875.29
10/5/10,263457.412
10/7/10,267797.31
